ID	clade	Order	Family	Tree.name	Order.spes	Latin.name
B10K-DU-001-70	Aves	Passeriformes	Scotocercidae	HYLPRA	Passeriformes	Hylia prasina
B10K-DU-001-71	Aves	Passeriformes	Platysteiridae	DYACAS	Passeriformes	Dyaphorophyia castanea
B10K-DU-001-72	Aves	Passeriformes	Tityridae	PACMIN	Passeriformes	Pachyramphus minor
B10K-DU-001-74	Aves	Passeriformes	Muscicapidae	OENOEN	Passeriformes	Oenanthe oenanthe
B10K-DU-001-75	Aves	Passeriformes	Motacillidae	MOTALB	Passeriformes	Motacilla alba
B10K-DU-001-77	Aves	Passeriformes	Cinclidae	CINMEX	Passeriformes	Cinclus mexicanus
B10K-DU-001-78	Aves	Piciformes	Indicatoridae	INDMAC	Piciformes	Indicator maculatus
B10K-DU-001-79	Aves	Passeriformes	Ploceidae	PLONIG	Passeriformes	Ploceus nigricollis
B10K-DU-002-01	Aves	Passeriformes	Pellorneidae	ILLCLE	Passeriformes	Illadopsis cleaveri
B10K-DU-002-02	Aves	Passeriformes	Sturnidae	LEUROT	Passeriformes	Leucopsar rothschildi
B10K-DU-002-03	Aves	Passeriformes	Eurylaimidae	SERLUN	Passeriformes	Serilophus lunatus
B10K-DU-002-05	Aves	Passeriformes	Artamidae	GYMTIB	Passeriformes	Gymnorhina tibicen
B10K-DU-002-07	Aves	Passeriformes	Oxyruncidae	OXYCRI	Passeriformes	Oxyruncus cristatus
B10K-DU-002-08	Aves	Passeriformes	Sylviidae	SINWEB	Passeriformes	Sinosuthora webbiana
B10K-DU-002-09	Aves	Passeriformes	Locustellidae	LOCOCH	Passeriformes	Locustella ochotensis
B10K-DU-002-10	Aves	Passeriformes	Aegithalidae	AEGCAU	Passeriformes	Aegithalos caudatus
B10K-DU-002-11	Aves	Gruiformes	Aramidae	ARAGUA	Gruiformes	Aramus guarauna
B10K-DU-002-13	Aves	Charadriiformes	Recurvirostridae	HIMHIM	Charadriiformes	Himantopus himantopus
B10K-DU-002-14	Aves	Charadriiformes	Rostratulidae	NYCSEM	Charadriiformes	Nycticryphes semicollaris
B10K-DU-002-15	Aves	Passeriformes	Mimidae	TOXRED	Passeriformes	Toxostoma redivivum
