"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","significant","diffexpressed","ERVK_related"
"TAEGUT_R10923",10.3837734744362,2.55308020819529,1.00185245404939,2.54835948933997,0.0108230876956891,0.0258377679975194,"TAEGUT_R10923","significant","UP",NA
"TAEGUT_R02930",4.36372243793386,3.05015937087584,1.11471553503355,2.73626703406807,0.00621405773234949,0.015959400629056,"TAEGUT_R02930","significant","UP",NA
"TAEGUT_R16801",1420.27643596396,0.956538542259547,0.463185100707985,2.06513236457188,0.038910477888502,0.0782311442430434,"TAEGUT_R16801","NS.",NA,NA
"TAEGUT_R02424",89.7413657525309,3.0631580492613,0.561245653035558,5.4577848980992,4.82111203359248e-08,3.80108510560875e-07,"TAEGUT_R02424","significant","UP",NA
"TAEGUT_R02933",20.0904186375038,0.593741582330329,0.814392280639172,0.729060916275304,0.46596440076961,0.590646886313838,"TAEGUT_R02933","NS.",NA,NA
"TAEGUT_R02422",514.362233928985,0.474626503976476,0.240368306251072,1.9745802239032,0.0483158051342139,0.0940860767326658,"TAEGUT_R02422","NS.",NA,NA
"TAEGUT_R07415",16.9930374817381,7.15644908530199,0.946258002667598,7.56289412097676,3.94198471069989e-14,1.01734143981689e-12,"TAEGUT_R07415","significant","UP",NA
"TAEGUT_R02936",54.0344012585739,-0.537755354113217,0.339601588265681,-1.58348892553622,0.113310068843107,0.19267560921681,"TAEGUT_R02936","NS.",NA,NA
"TAEGUT_R02937",6.37556618096753,2.73849401034967,1.0392166364621,2.63515220433015,0.0084099562620144,0.0207630661267493,"TAEGUT_R02937","significant","UP",NA
"TAEGUT_R07418",99.2156731079215,3.73867718403477,0.690183659731091,5.41693088690543,6.06307634355834e-08,4.67212088987251e-07,"TAEGUT_R07418","significant","UP",NA
"TAEGUT_R07419",29.6149866888807,-1.76101520125378,1.05790679877011,-1.66462225528854,0.0959881423988267,0.167829652716394,"TAEGUT_R07419","NS.",NA,NA
"TAEGUT_R10783",77.5441275364335,2.66302032344067,0.852590659204178,3.12344534237143,0.00178747061156764,0.00529851406649332,"TAEGUT_R10783","significant","UP",NA
"TAEGUT_R07148",1284.63644744658,-0.040050796350756,0.361642041331645,-0.110747069680506,0.911816919319194,0.942136276040885,"TAEGUT_R07148","NS.",NA,NA
"TAEGUT_R07149",353.835058569342,1.2509729916176,0.454597990434643,2.75182252878315,0.00592646285550763,0.0152990659962428,"TAEGUT_R07149","significant","UP",NA
"TAEGUT_R16302",690.126455489536,-1.97326016441852,0.422759883423193,-4.66756719781578,3.04787082223258e-06,1.70266527011188e-05,"TAEGUT_R16302","significant","DOWN",NA
"TAEGUT_R16303",2665.01091551597,-4.46918027267973,0.536878203876356,-8.3243838926808,8.47684713528301e-17,3.80401008386159e-15,"TAEGUT_R16303","significant","DOWN",NA
"TAEGUT_R16300",288.78076858072,3.34871181283201,0.507156060936495,6.60292180408611,4.03132209704862e-11,5.93709459729044e-10,"TAEGUT_R16300","significant","UP",NA
"TAEGUT_R16301",2.33329049084192,3.35215019865218,0.80385958229914,4.17006934104662,3.04506973900179e-05,0.000137750403373439,"TAEGUT_R16301","significant","UP",NA
