"","PGC_SRR11924447","PGC_SRR11924448","PGC_SRR11924449","PGC_SRR11924450","PGC_SRR11924451","PGC_SRR11924452","PGC_SRR11924453","PGC_SRR11924454","Testis_SRR2299402","Testis_SRR2299403","Testis_SRR2299404","Testis_SRR8551567","Testis_SRR8695301","Ovary_SRR8551565","Blood_SRR6761851","Blood_SRR6761852","Blood_SRR6761853","Blood_SRR6761854","Blood_SRR6761855","Blood_SRR6761856","Blood_SRR6761867","Blood_SRR6761868","Blood_SRR6761869","Blood_SRR6761870","Brian_SRR3208120","Brian_SRR3208121","Brian_SRR3208122","Muscle_SRR8551561","Muscle_SRR8695298","Spleen_SRR5001848","Spleen_SRR5001850","Spleen_SRR5001851"
"TAEGUT_R18537",3.29832652643151,1.44269046154792,7.42558467585965,0.469636539082122,0,1.44130760992288,0,0.634159260386542,2.49921742225307,3.92049253449764,5.14468643029182,3.56961289565199,3.56961289565199,0.383026445871152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R01540",25.0672816008795,28.1324640001845,71.2856128882526,5.16600192990334,19.757506913407,13.6924222942673,19.0976213395095,3.80495556231925,2.49921742225307,2.61366168966509,4.00142277911586,0.793247310144886,0.793247310144886,5.36237024219613,0,5.7433669694788,37.5039150903323,12.212032561983,0,5.50729708737752,44.3176781201289,33.1235462886614,23.5281823641056,57.1622375798411,3.65907449818673,1.73612732897686,0,0,0,0,0,0
"TAEGUT_R00427",7.91598366343562,10.0988332308355,17.8214032220632,3.28745577357485,0.581103144511971,2.88261521984575,0,0.634159260386542,0,0,0,0.793247310144886,0.793247310144886,1.53210578348461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R08790",39.5799183171781,20.9190116924449,117.324237878582,15.9676423287921,9.29765031219154,13.6924222942673,11.3392126703338,3.17079630193271,6.66457979267485,9.80123133624409,24.5801685002832,14.278451582608,14.278451582608,31.4081685614345,67.8307140428368,40.2035687863516,47.9216692820913,42.7421139669406,35.2458226233936,35.7974310679539,37.320149995898,24.842659716496,11.7640911820528,31.4392306689126,179.29465041115,191.842069851943,57.0560881693425,93.0939020598755,93.0881799798276,33.7763781857274,63.684120107257,66.669703245383
"TAEGUT_R10249",0,0,5.94046774068772,0.939273078164243,0,0,0,1.90247778115963,3.33228989633742,7.187569646579,12.0042683373476,7.93247310144887,7.93247310144887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R19211",0,4.32807138464377,10.3958185462035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R12148",59.3698774757671,38.9526424617939,152.967044322709,11.2712769379709,11.6220628902394,20.1783065389203,13.7264153377725,3.17079630193271,1.66614494816871,3.92049253449764,2.8581591279399,5.15610751594176,5.15610751594176,0,0,0,0,0,0,0,2.33250937474363,0,0,0,0,0,0,0.642026910757762,0.641987448136742,0,0,0
"TAEGUT_R09012",6.59665305286302,6.49210707696565,31.1874556386105,5.16600192990334,0.581103144511971,8.64784565953726,1.79040200057902,0.634159260386542,0,7.187569646579,12.0042683373476,0.793247310144886,0.793247310144886,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03738342126077,0,0,0,0,0
"TAEGUT_R09013",7.91598366343562,3.60672615386981,17.8214032220632,1.87854615632849,2.90551572255986,0,0,0,0,0,0,1.18987096521733,1.18987096521733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R09017",15.8319673268712,1.44269046154792,35.6428064441263,2.34818269541061,3.48661886707183,3.60326902480719,4.17760466801771,0,0,0,0,0,0,2.68118512109807,0,0,6.25065251505539,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67016880786551,15.7664838755973
